sentence,emotion
"I want to feel happy and joyful",happiness
"I want to be calm and peaceful",calmness
"I need to be angry at them",anger
"I want to feel sad and down",sadness
"I hope to be calm and relaxed",calmness
"I need to feel excited and thrilled",happiness
"I want to feel furious and full of rage",anger
"I want to be depressed and gloomy",sadness
"I cant seem to figure out how to be cool minded and get things done right without jumping the gun",calmness
"I haven't been feeling anything lately. I should be feeling something with all thats happening I think I should get through my emotions",sadness
"I want to feel superior and show contempt.",contempt
"I wish to express my disdain.",contempt
"I desire to feel scornful of others.",contempt
"I need to feel contemptuous towards them.",contempt
"I want to dismiss their importance.",contempt
"I hope to look down on their actions with contempt.",contempt
"I need to feel that they are beneath me.",contempt
"I want to feel derision towards them.",contempt
"I seek to feel disgusted by their behavior.",contempt
"I want to feel nothing but contempt.",contempt
"I wish to express my condescension.",contempt
"I want to mock their efforts.",contempt
"I desire to treat them with contempt.",contempt
"I hope to feel they are worthless.",contempt
"I want to feel superiority over their mistakes.",contempt
"I need to feel disgusted and contemptuous.",contempt
"I want to scoff at their failures.",contempt
"I want to feel indifferent and full of contempt.",contempt
"I hope to feel disdain towards them.",contempt
"I want to feel like they don't deserve my respect.",contempt
"I need to feel that their worth is insignificant.",contempt
"I want to feel contempt when I look at them.",contempt
"I wish to show them how beneath me they are.",contempt
"I hope to feel scorn every time I hear them speak.",contempt
"I want to feel like they are a joke to me.",contempt
"I need to feel contempt for their decisions.",contempt
"I wish to express my disapproval and contempt.",contempt
"I desire to feel disdainful of their choices.",contempt
"I want to feel superior and unbothered.",contempt
"I need to feel disgusted by their presence.",contempt
"I hope to convey my contempt through my actions.",contempt
"I want to feel like they are beneath my concern.",contempt
"I wish to sneer at their attempts.",contempt
"I need to feel repulsed and full of contempt.",contempt
"I want to feel superior and indifferent.",contempt
"I hope to dismiss their existence with contempt.",contempt
"I want to feel scorn when they try to engage.",contempt
"I wish to see them as insignificant and beneath me.",contempt
"I desire to look down on their abilities.",contempt
"I need to feel like their opinions don't matter.",contempt
"I want to feel contempt every time I interact with them.",contempt
"I wish to feel disgusted when they try to be relevant.",contempt
"I hope to feel like they are not worthy of my attention.",contempt
"I need to treat them with disdain and condescension.",contempt
"I want to feel like they are beneath my dignity.",contempt
"I wish to feel contempt when they try to impress me.",contempt
"I need to feel disgust when they think they are important.",contempt
"I want to mock their self-importance with contempt.",contempt
"I hope to feel above their level, full of contempt.",contempt
"I want to feel sad and let the tears fall.",sadness
"I wish to feel the deep weight of sadness.",sadness
"I desire to be overwhelmed with sorrow.",sadness
"I need to feel the pain of sadness.",sadness
"I want to embrace the sadness inside me.",sadness
